"filename", "language", "YAML", "Go Module File", "Ignore", "JSON", "Markdown", "Docker", "Go", "Go Checksum File", "MS SQL", "comment", "blank", "total"
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/supplier.go", "Go", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 8, 37
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/tenant.go", "Go", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/type_movement.go", "Go", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 7, 28
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/user.go", "Go", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 2, 17
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/docker-compose-improved.yml", "YAML", 123, 0, 0, 0, 0, 0, 0, 0, 0, 72, 17, 212
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/docker-compose.yml", "YAML", 125, 0, 0, 0, 0, 0, 0, 0, 0, 72, 17, 214
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/go.mod", "Go Module File", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 5, 89
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/go.sum", "Go Checksum File", 0, 0, 0, 0, 0, 0, 0, 291, 0, 0, 1, 292
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/grafana.json", "JSON", 0, 0, 0, 1262, 0, 0, 0, 0, 0, 0, 0, 1262
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/assets/embed.go", "Go", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 2, 6
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/cache/auth_token.go", "Go", 0, 0, 0, 0, 0, 0, 233, 0, 0, 35, 79, 347
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/cache/redis.go", "Go", 0, 0, 0, 0, 0, 0, 170, 0, 0, 18, 41, 229
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/cache/tenant/tenant.go", "Go", 0, 0, 0, 0, 0, 0, 22, 0, 0, 16, 15, 53
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/database/db.go", "Go", 0, 0, 0, 0, 0, 0, 317, 0, 0, 19, 56, 392
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/database/db_tenant.go", "Go", 0, 0, 0, 0, 0, 0, 302, 0, 0, 24, 39, 365
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/database/migrations.go", "Go", 0, 0, 0, 0, 0, 0, 40, 0, 0, 2, 10, 52
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/dependencies/container_tenant.go", "Go", 0, 0, 0, 0, 0, 0, 205, 0, 0, 4, 10, 219
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/dependencies/dependencies.go", "Go", 0, 0, 0, 0, 0, 0, 30, 0, 0, 3, 8, 41
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/key/key.go", "Go", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/migrations/embed.go", "Go", 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 4, 10
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/migrations/main/000001_select.up.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/migrations/tenant/000001_select.down.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/models/admin.go", "Go", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 8, 48
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/models/auditlog.go", "Go", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/models/cash_register.go", "Go", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 5, 23
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/models/category.go", "Go", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 5, 22
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/models/client.go", "Go", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/models/deposit.go", "Go", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/models/expense.go", "Go", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 5, 54
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/models/income.go", "Go", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 7, 60
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/models/member.go", "Go", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 10, 63
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/models/movement_stock.go", "Go", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/models/pay.go", "Go", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 5, 42
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/internal/models/permission.go", "Go", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 5, 15
